,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2139,2022-01-06 00:00:00,0.12269181690076186,-0.5251008169851901,0.7989589816476962,0.028513789822232363,0.21288486549421554,0.007286769326743809,0.007286769326743809,0.007286769326743809,0.004934363411622123,0.004934363411622123,0.004934363411622123,0.0013805113967288517,0.0013805113967288517,0.0013805113967288517,0.0009718945183928351,0.0009718945183928351,0.0009718945183928351,0.0,0.0,0.0,0.12997858622750566
2140,2022-01-06 01:00:00,0.12270578379101903,-0.5512796804394522,0.8325135349391036,0.02847749059148436,0.2129993013879033,0.001676860588079707,0.001676860588079707,0.001676860588079707,-0.0021040728455691327,-0.0021040728455691327,-0.0021040728455691327,0.00282290137785482,0.00282290137785482,0.00282290137785482,0.0009580320557940189,0.0009580320557940189,0.0009580320557940189,0.0,0.0,0.0,0.12438264437909874
2141,2022-01-06 02:00:00,0.1227197506812763,-0.4884575058026849,0.7582281616761873,0.028441191360736345,0.21311373728159194,-0.0008490859921818779,-0.0008490859921818779,-0.0008490859921818779,-0.006089332494218248,-0.006089332494218248,-0.006089332494218248,0.004295703360298458,0.004295703360298458,0.004295703360298458,0.0009445431417379102,0.0009445431417379102,0.0009445431417379102,0.0,0.0,0.0,0.12187066468909442
2142,2022-01-06 03:00:00,0.12273371757153348,-0.5042358397792579,0.7482009211260521,0.02840489212998833,0.2132281731752797,0.00036728764242639864,0.00036728764242639864,0.00036728764242639864,-0.006350304222918564,-0.006350304222918564,-0.006350304222918564,0.005786164898343792,0.005786164898343792,0.005786164898343792,0.0009314269670011722,0.0009314269670011722,0.0009314269670011722,0.0,0.0,0.0,0.12310100521395988
2143,2022-01-06 04:00:00,0.12274768446179064,-0.5359947092373614,0.7837832169657755,0.02836859289924077,0.21334260906896743,0.00350398150707855,0.00350398150707855,0.00350398150707855,-0.004695853537139788,-0.004695853537139788,-0.004695853537139788,0.007281152341919452,0.007281152341919452,0.007281152341919452,0.0009186827022988856,0.0009186827022988856,0.0009186827022988856,0.0,0.0,0.0,0.1262516659688692
2144,2022-01-06 05:00:00,0.12276165135204781,-0.5003247648614292,0.7633285342152435,0.028332293668492766,0.21345704496265427,0.00607101730318384,0.00607101730318384,0.00607101730318384,-0.003602587053065223,-0.003602587053065223,-0.003602587053065223,0.008767294857882954,0.008767294857882954,0.008767294857882954,0.0009063094983661096,0.0009063094983661096,0.0009063094983661096,0.0,0.0,0.0,0.12883266865523166
2145,2022-01-06 06:00:00,0.12277561824230497,-0.5125836447391431,0.7740496422586419,0.02829599443774521,0.213571480856342,0.006989396914125238,0.006989396914125238,0.006989396914125238,-0.004136041661549616,-0.004136041661549616,-0.004136041661549616,0.010231132089678983,0.010231132089678983,0.010231132089678983,0.0008943064859958716,0.0008943064859958716,0.0008943064859958716,0.0,0.0,0.0,0.1297650151564302
2146,2022-01-06 07:00:00,0.12278958513256213,-0.5096204842232118,0.7569762630766894,0.028259695206997205,0.21368591675002974,0.007118712354986407,0.007118712354986407,0.007118712354986407,-0.005423224119680124,-0.005423224119680124,-0.005423224119680124,0.011659263698518075,0.011659263698518075,0.011659263698518075,0.0008826727761484564,0.0008826727761484564,0.0008826727761484564,0.0,0.0,0.0,0.12990829748754854
2147,2022-01-06 08:00:00,0.12280355202281942,-0.5219480904733793,0.7462441643829842,0.028223395976249177,0.2138003526437184,0.00796953960826951,0.00796953960826951,0.00796953960826951,-0.005940366855521024,-0.005940366855521024,-0.005940366855521024,0.013038499003813896,0.013038499003813896,0.013038499003813896,0.0008714074599766352,0.0008714074599766352,0.0008714074599766352,0.0,0.0,0.0,0.13077309163108894
2148,2022-01-06 09:00:00,0.12281751891307659,-0.5324023970076488,0.7294069556898396,0.028187096745501173,0.21391478853740614,0.010027136724706023,0.010027136724706023,0.010027136724706023,-0.005189377818024389,-0.005189377818024389,-0.005189377818024389,0.014356004933856576,0.014356004933856576,0.014356004933856576,0.0008605096088738336,0.0008605096088738336,0.0008605096088738336,0.0,0.0,0.0,0.1328446556377826
2149,2022-01-06 10:00:00,0.12283148580333375,-0.4998011053043677,0.7720793379057798,0.028150797514753613,0.2140292244310939,0.012334506677170464,0.012334506677170464,0.012334506677170464,-0.004114922109910228,-0.004114922109910228,-0.004114922109910228,0.015599450512481534,0.015599450512481534,0.015599450512481534,0.0008499782745991547,0.0008499782745991547,0.0008499782745991547,0.0,0.0,0.0,0.1351659924805042
2150,2022-01-06 11:00:00,0.12284545269359093,-0.5317301283076151,0.7803884296122713,0.02811449828400561,0.21414366032478074,0.013612851047962548,0.013612851047962548,0.013612851047962548,-0.003984107591112103,-0.003984107591112103,-0.003984107591112103,0.01675714614978408,0.01675714614978408,0.01675714614978408,0.0008398124892905649,0.0008398124892905649,0.0008398124892905649,0.0,0.0,0.0,0.1364583037415535
2151,2022-01-06 12:00:00,0.12285941958384809,-0.5068982780838819,0.7457053027278236,0.028078199053258042,0.21425809621846847,0.013660344974455986,0.013660344974455986,0.013660344974455986,-0.004987842352594495,-0.004987842352594495,-0.004987842352594495,0.017818176061510753,0.017818176061510753,0.017818176061510753,0.0008300112655397298,0.0008300112655397298,0.0008300112655397298,0.0,0.0,0.0,0.13651976455830409
